reach_id;h_hat;z0_hat;alpha_hat;alpha_tilde;beta_hat;delta_hat;offset_hat;factor_hat;dAbar;std_S;std_W;rel_std_S;rel_std_W;Wbar;Sbar;Qbar;R2;R2_2;valid;r_hat_alpha;r_hat_beta;r_hat_z0;r_hat_delta;r_hat_offset;r_hat_factor;ess_alpha;ess_beta;ess_z0;ess_delta;ess_offset;ess_factor;r2_param_hat;nse_param_hat;rmse_param_hat;nrmse_param_hat;mae_param_hat;bias_param_hat;r2_param_tilde;nse_param_tilde;rmse_param_tilde;nrmse_param_tilde;mae_param_tilde;bias_param_tilde;rel_std_Q
23214100101;2.437638406554593;7.982005843692319;3577.449870708431;3560.414307021769;1.7933573953183652;0.4783828736836575;-2.552360203428533;0.0098565924326988;158.56150197749025;1.5772294255869156e-05;2.8421709430404014e-14;0.0400960304850255;1.649923656557755e-16;172.26075471698115;0.0003933629854396;411.0699133931333;0.9999508340211318;0.9999499161746064;732;1.09;1.45;1.45;1.53;1.0;1.0;40.0;8.0;8.0;7.0;2956.0;2568.0;0.9995587807321524;0.9825839590810228;28.97493934089932;0.07048664569422931;24.22953947929369;-24.22953947929369;0.9995587807321522;0.9852577948880641;26.658090740841114;0.06485050321682438;22.163677259854623;-22.156674220469334;0.5341117420647971
23214100111;2.978900046457134;9.960026628572898;3327.510339939249;3251.93081971044;1.930250884069844;0.4922496303878925;-2.62467632308267;0.0099459787040785;191.70431650725388;4.315386063762841e-06;2.8421709430404014e-14;0.023359512743011;1.5223369824974411e-16;186.69788461538465;0.0001847378458291;411.0974180327868;0.9999528532834872;0.9999544748123484;732;1.39;2.04;1.95;2.01;1.0;1.0;9.0;5.0;6.0;5.0;3078.0;2478.0;0.998841646835512;0.9933816248075653;17.878892397270516;0.043490646287261764;11.184170102831104;-11.07907805693212;0.9988416468355109;0.9978898784897762;10.0952865617465;0.024556920376817733;4.489742430543408;-1.489957733740817;0.5345891865267697
23214100121;2.936243758298806;12.234781779616316;3286.307065535776;3267.414663211489;1.841333158012978;0.4912619423191653;-2.595288057997444;0.0100010629388139;172.48700358004606;3.0206386903850856e-06;2.8421709430404014e-14;0.0126613767398462;1.7897036387058822e-16;158.80679245283022;0.0002385711090073;411.15185947004846;0.999941043658196;0.9999407683042384;732;1.33;1.62;1.59;1.73;1.0;1.0;10.0;7.0;7.0;6.0;2999.0;2465.0;0.9989226974490102;0.9960210204084216;13.88050263740726;0.03376003857868585;8.19913548231749;-7.871507563015443;0.9989226974490104;0.9971301105508066;11.788320121752765;0.028671450341845088;5.996091364079924;-5.462615796239709;0.5352011998867383
23214100131;2.5564378485408654;16.035748680144767;3471.0304835873862;3474.258119571841;1.7885549373787544;0.4803917005746387;-2.6216041624806565;0.0099113519371339;158.90079411545312;3.5331469731956592e-06;2.8421709430404014e-14;0.010639537962686;1.7425691496588446e-16;163.1023333333333;0.0003320771057527;411.2185025045537;0.9999490901127338;0.9999488759485444;732;1.15;1.59;1.59;1.94;1.0;1.0;19.0;7.0;7.0;6.0;2892.0;2405.0;0.999316519775294;0.9974514066570398;11.124674960856892;0.02705295334013746;6.821399689618704;-6.50806918013799;0.9993165197752927;0.9972828344219473;11.486695554038443;0.027933314002356307;7.18988312324939;-6.896504061596843;0.5358761287198982
23214100141;2.652249934147827;20.304824551074425;3518.512545460592;3474.5959501668663;1.820494972697032;0.5022648207830969;-2.5326270363272547;0.0096799349230514;150.36746637579606;4.451232538309053e-06;2.8421709430404014e-14;0.0122355810634215;1.8568594327231e-16;153.0633333333333;0.0003637941275724;411.2595500910747;0.9999563716951672;0.9999563716951672;732;1.16;1.69;1.66;1.91;1.0;1.0;19.0;6.0;6.0;6.0;3193.0;2650.0;0.9992739887931934;0.9989330905160617;7.209058454475074;0.017529218355849988;3.2467038033473883;-0.17521220853026012;0.9992739887931938;0.9987359732686109;7.846805510198804;0.019079935064027338;6.070704592646097;4.960143630684637;0.5366594276006734
23214200031;1.189163787756467;25.593273423042326;3281.87890697488;3236.169206803074;1.699134935509051;0.5205793926047078;-0.306386451606781;0.0093243864945906;71.26688867052135;4.869183868817432e-05;0.0;0.1380008653038325;0.0;100.04341176470588;0.0003528371983825;82.0169138540662;0.9996450687486934;0.9996590200158768;732;1.45;1.09;1.11;1.45;1.0;1.0;9.0;33.0;28.0;9.0;3207.0;2780.0;0.9998287234253912;0.9996730699232639;1.3205933979285234;0.016101476340334788;1.0275844632111018;0.8472100405193189;0.9998287234253914;0.9987548458919878;2.5772303463571347;0.03142315682522309;2.0617147087600207;1.9777340267840986;0.8905088912292192
23214200051;1.0666689328419718;29.916432107354204;3235.433193944624;3066.771318452806;1.6157693366130856;0.5083255624278897;-0.3068235989547586;0.009346240993763;62.8406160585564;4.756499587052567e-06;1.4210854715202004e-14;0.0100566055202338;1.5569015249347323e-16;91.27651612903227;0.0004729726722881;82.0131272474881;0.9999742697024092;0.999974361487062;732;1.87;1.03;1.04;1.94;1.0;1.0;6.0;82.0;77.0;6.0;3033.0;2630.0;0.9998610927407112;0.9993577717741802;1.8518718174639364;0.02258018782621968;1.11147762681827;-1.070902099426646;0.9998610927407117;0.9965728031138915;4.2779505027449725;0.052161777587575134;3.2602360737535436;3.2602360737535436;0.8910105693094494
23214200071;0.9620573312389656;35.957145133145545;3328.046538366118;3238.5680067993376;1.6686484528999326;0.4827731980091134;-0.3074323682324315;0.0092644482869539;71.92755209143678;1.2663157482925228e-05;0.0;0.0300968714659362;0.0;120.40063829787232;0.0004207466379772;82.0446289966283;0.9999896589291488;0.9999896589291488;732;1.57;1.09;1.09;1.51;1.0;1.0;7.0;37.0;34.0;8.0;3267.0;2711.0;0.9999324219887572;0.9986921110862648;2.6457554394192973;0.03224775919857017;1.8712991792478417;-1.8637574416595526;0.999932421988757;0.9998932953856541;0.7557112173104368;0.009210977324810542;0.42182639918480225;0.3922203874010813;0.8916904449662331
23214200081;1.531492260684724;37.88051190817087;2429.155301764663;2491.5468751384733;1.6422724836414837;0.4804037128522427;-0.299316740350573;0.0092749559597016;81.57766116702221;2.6134335847011514e-05;1.4210854715202004e-14;0.1692279008780804;1.6096396925331207e-16;88.28593617021279;0.000154432783905;82.03865088361819;0.9999705983163084;0.9999686708386054;732;2.0;1.05;1.04;2.0;1.0;1.0;5.0;36.0;37.0;5.0;3389.0;2926.0;0.9998062075221705;0.9972639324361107;3.8324878514465035;0.04671563720475309;2.5761825079644005;-2.569149785063523;0.9998062075221685;0.9916675725929117;6.688105997215278;0.08152384181333223;4.742256543442445;-4.742256543442445;0.8930974888595847
23214200091;1.2738483645634826;40.804337638419135;2135.697719222224;2215.896738176101;1.6807881837913654;0.4991608474393343;-0.2943303528980525;0.0089708057793158;61.40171887161673;3.498555284002083e-05;1.4210854715202004e-14;0.0672448951922097;1.8970479373347327e-16;74.91036170212764;0.0005202707616692;81.98691678293221;0.9999077870190984;0.9999065632237314;732;2.24;1.04;1.04;2.37;1.0;1.0;5.0;44.0;43.0;5.0;3160.0;2567.0;0.9997230336084993;0.9996065458237224;1.4564636692943056;0.017764586429691278;0.9152977358022372;-0.5611540770513817;0.9997230336084991;0.9951710641243907;5.1024445679108785;0.06223486341631876;3.6657043019602447;-3.6609721083768836;0.8955874963304457
23214200111;1.2354556012973386;49.803505530914094;2615.3570661628587;2517.3162833352453;1.7022167999599056;0.5240427084844359;-0.2872800581933249;0.008843448990979;66.17562558090111;3.3353295241328466e-05;0.0;0.0717441066988023;0.0;87.76825641025641;0.0004648924737658;81.86669307832422;0.9999837847113876;0.9999839682806924;732;2.22;1.02;1.03;2.14;1.0;1.0;5.0;50.0;47.0;5.0;3353.0;2706.0;0.9999331953868394;0.9957522258588436;4.785870704085893;0.058459313844607265;3.6054689459498594;3.6054689459498594;0.9999331953868383;0.9859217774435822;8.71272820428864;0.10642579877940009;6.539214314127247;6.539214314127247;0.8969598536405369
23214200131;1.5102648367200844;52.45220676244264;2473.2326568044805;2557.450570289956;1.6164647123140732;0.5104341088901418;-0.3037119177440966;0.0092766041702234;70.4516573137678;2.575208511286125e-05;1.4210854715202004e-14;0.0917789140837115;2.0571758007152275e-16;69.07943750000001;0.000280588252432;81.7825200648907;0.9999488682994324;0.9999473691500964;732;1.73;1.08;1.07;1.78;1.0;1.0;6.0;61.0;69.0;6.0;3303.0;2745.0;0.9997481844068237;0.9996249109068968;1.4225519478920061;0.0173943276235958;0.732709360616045;-0.4244570063692997;0.9997481844068248;0.9958990077685363;4.70376254970708;0.05751550020682731;3.2237488820616713;-3.2237488820616713;0.898132532512317
23214200151;1.1657832232819867;54.41668712985062;1927.0857260953976;1885.5134844749325;1.6428285367683213;0.4844745087647797;-0.2906950775998589;0.0091922782462695;53.72011412232676;6.584119249648262e-05;1.4210854715202004e-14;0.0919098968482985;2.0304302924839674e-16;69.98937499999998;0.0007163667325745;81.77539258879781;0.9999467037117684;0.9999469484708416;732;1.48;1.04;1.04;1.5;1.0;1.0;7.0;75.0;73.0;7.0;3362.0;2781.0;0.9998297911460554;0.9997953596690315;1.050689193986442;0.012848476304721195;0.6172736311414746;-0.35883170840540113;0.9998297911460561;0.9991214543783767;2.177011936574582;0.026621846348345198;1.418234272290077;1.41301672135344;0.8981647639066388
